<wordnet_actor_109765278> 	=> actedIn
<wordnet_intellectual_109621545> 	=> influences
<wordnet_authority_109824361> 	=> influences
<wordnet_creator_109614315> 	=> influences
<wordnet_religious_leader_110519494> 	=> influences
<wordnet_spiritual_leader_109505153> 	=> influences
<wordnet_critic_109979589> 	=> influences
<wordnet_teacher_110694258> 	=> influences
<wordnet_writer_110794014> 	=> influences-1
<wordnet_spiritual_leader_109505153> 	=> influences-1
<wordnet_creator_109614315> 	=> influences-1
<wordnet_religious_person_109628382> 	=> influences-1
<wordnet_intellectual_109621545> 	=> influences-1
<wordnet_scientist_110560637> 	=> influences-1
<wordnet_group_100031264> 	=> isAffiliatedTo-1
<wordnet_person_100007846> 	=> isCitizenOf
<wordnet_country_108544813> 	=> isCitizenOf-1
<wordnet_airport_102692232> 	=> isConnectedTo
<wordnet_airport_102692232> 	=> isConnectedTo-1
<wordnet_scientist_110560637> 	=> isInterestedIn
<wordnet_intellectual_109621545> 	=> isInterestedIn
isInterestedIn-1	None
isKnownFor	None
<wordnet_head_of_state_110164747> 	=> isLeaderOf
<wordnet_commanding_officer_109941964> 	=> isLeaderOf
<wordnet_leader_109623038> 	=> isLeaderOf
<wordnet_ruler_110541229> 	=> isLeaderOf
<wordnet_administrative_district_108491826> 	=> isLeaderOf-1
<wordnet_administrative_unit_108077292> 	=> isLeaderOf-1
<wordnet_military_unit_108198398> 	=> isLeaderOf-1
<wordnet_company_108058098> 	=> isLeaderOf-1
<yagoPermanentlyLocatedEntity> 	=> isLocatedIn
<wordnet_area_108497294> 	=> isLocatedIn-1
<wordnet_district_108552138> 	=> isLocatedIn-1
<wordnet_region_108630039> 	=> isLocatedIn-1
<wordnet_spouse_110640620> 	=> isMarriedTo
<wikicat_British_duchesses_by_marriage> 	=> isMarriedTo
<wordnet_spouse_110640620> 	=> isMarriedTo-1
<wikicat_British_duchesses_by_marriage> 	=> isMarriedTo-1
<wordnet_politician_110451263> 	=> isPoliticianOf
<wordnet_politician_110450303> 	=> isPoliticianOf
<wordnet_executive_110069645> 	=> isPoliticianOf
<wordnet_administrative_district_108491826> 	=> isPoliticianOf-1
<wordnet_person_100007846> 	=> livesIn
<wordnet_residential_district_108553535> 	=> livesIn-1
<wordnet_administrative_district_108491826> 	=> livesIn-1
<wordnet_urban_area_108675967> 	=> livesIn-1
<wordnet_owner_110388924> 	=> owns
<wordnet_owner_110389398> 	=> owns
<wordnet_commissioned_officer_109942970> 	=> participatedIn
<wordnet_country_108544813> 	=> participatedIn
<wordnet_event_100029378> 	=> participatedIn-1
<wordnet_contestant_109613191> 	=> playsFor
<wikicat_Association_football_clubs_established_in_1955> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1977> 	=> playsFor-1
<wikicat_Football_clubs_in_Iran> 	=> playsFor-1
<wikicat_Football_clubs_in_Germany> 	=> playsFor-1
<wikicat_Football_clubs_in_Bavaria> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_2000> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1956> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1980> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_2007> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_2004> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1922> 	=> playsFor-1
<wikicat_Football_clubs_in_Yugoslavia> 	=> playsFor-1
<wikicat_Soccer_clubs_in_New_South_Wales> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1963> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1958> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1998> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1935> 	=> playsFor-1
<wikicat_Football_clubs_in_East_Germany> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_2012> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1975> 	=> playsFor-1
<wikicat_Football_clubs_in_Spain> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1965> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1999> 	=> playsFor-1
<wikicat_Italian_football_First_Division_clubs> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1927> 	=> playsFor-1
<wikicat_Football_clubs_in_Bulgaria> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1953> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1908> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1912> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1995> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1962> 	=> playsFor-1
<wikicat_Football_clubs_in_Belgium> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1952> 	=> playsFor-1
<wikicat_Football_clubs_in_Scotland> 	=> playsFor-1
<wikicat_Soccer_clubs_in_the_United_States> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1918> 	=> playsFor-1
<wikicat_Football_clubs_in_Denmark> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1926> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1966> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1974> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1964> 	=> playsFor-1
<wikicat_Defunct_indoor_soccer_clubs_in_the_United_States> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1909> 	=> playsFor-1
<wikicat_Football_clubs_in_Slovenia> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1931> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1996> 	=> playsFor-1
<wikicat_Football_clubs_in_England> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_2002> 	=> playsFor-1
<wikicat_Liga_II_clubs> 	=> playsFor-1
<wikicat_Football_clubs_in_Indonesia> 	=> playsFor-1
<wikicat_Football_clubs_in_Sweden> 	=> playsFor-1
<wikicat_Northern_Premier_League_clubs> 	=> playsFor-1
<wikicat_Football_clubs_in_China> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1929> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_2009> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1902> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1937> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1933> 	=> playsFor-1
<wikicat_Defunct_football_clubs_in_Russia> 	=> playsFor-1
<wikicat_Football_clubs_in_France> 	=> playsFor-1
<wikicat_Football_clubs_in_Greece> 	=> playsFor-1
<wikicat_Football_clubs_in_London> 	=> playsFor-1
<wikicat_Association_football_clubs_disestablished_in_2011> 	=> playsFor-1
<wikicat_Association_football_clubs_disestablished_in_2009> 	=> playsFor-1
<wikicat_Football_clubs_in_Ukraine> 	=> playsFor-1
<wikicat_Football_clubs_in_Algeria> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1947> 	=> playsFor-1
<wikicat_Football_clubs_in_Croatia> 	=> playsFor-1
<wikicat_Divisiones_regionales_de_f\xfatbol_clubs> 	=> playsFor-1
<wikicat_Association_football_clubs_disestablished_in_2012> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1932> 	=> playsFor-1
<wikicat_Football_clubs_in_Poland> 	=> playsFor-1
<wikicat_Football_clubs_in_Romania> 	=> playsFor-1
<wikicat_Soccer_clubs_in_South_Africa> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1959> 	=> playsFor-1
<wikicat_Football_clubs_in_Turkey> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1925> 	=> playsFor-1
<wikicat_Southern_Football_League_clubs> 	=> playsFor-1
<wikicat_Defunct_association_football_clubs> 	=> playsFor-1
<wikicat_Football_clubs_in_the_Soviet_Union> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_2001> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_2006> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1969> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1997> 	=> playsFor-1
<wikicat_Football_clubs_in_Mexico> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1967> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1907> 	=> playsFor-1
<wikicat_Football_clubs_in_Lombardy> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1960> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1968> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_2005> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_2008> 	=> playsFor-1
<wikicat_Football_clubs_in_Finland> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1990> 	=> playsFor-1
<wikicat_Defunct_football_clubs_in_Spain> 	=> playsFor-1
<wikicat_Football_League_clubs> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1919> 	=> playsFor-1
<wikicat_Association_football_clubs_disestablished_in_2010> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1951> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1920> 	=> playsFor-1
<wikicat_Serie_B_clubs> 	=> playsFor-1
<wikicat_Football_clubs_in_Belarus> 	=> playsFor-1
<wikicat_Football_clubs_in_Portugal> 	=> playsFor-1
<wikicat_Serie_A_clubs> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1903> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1979> 	=> playsFor-1
<wikicat_Football_clubs_in_Serbia> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1928> 	=> playsFor-1
<wikicat_Women's_soccer_clubs_in_the_United_States> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_2010> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1906> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1970> 	=> playsFor-1
<wikicat_Soccer_clubs_in_Australia> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1994> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1950> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1991> 	=> playsFor-1
<wordnet_team_108208560> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1934> 	=> playsFor-1
<wikicat_Football_clubs_in_Russia> 	=> playsFor-1
<wikicat_Football_clubs_in_Peru> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1948> 	=> playsFor-1
<wikicat_Football_clubs_in_Israel> 	=> playsFor-1
<wikicat_Football_clubs_in_Norway> 	=> playsFor-1
<wikicat_Football_clubs_in_Argentina> 	=> playsFor-1
<wikicat_Football_clubs_in_Japan> 	=> playsFor-1
<wikicat_Football_clubs_in_North_Rhine-Westphalia> 	=> playsFor-1
<wikicat_Football_clubs_in_Brazil> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1911> 	=> playsFor-1
<wikicat_Football_clubs_in_the_Netherlands> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1899> 	=> playsFor-1
<wikicat_Lega_Pro_Prima_Divisione_clubs> 	=> playsFor-1
<wikicat_Lega_Pro_Seconda_Divisione_clubs> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1914> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1957> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1972> 	=> playsFor-1
<wikicat_Scottish_Junior_Football_Association_clubs> 	=> playsFor-1
<wikicat_Football_clubs_in_Wales> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1904> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_2003> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1944> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1954> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1936> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1945> 	=> playsFor-1
<wikicat_Football_clubs_in_Baden-W\xfcrttemberg> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1910> 	=> playsFor-1
<wikicat_Association_football_clubs_in_Northern_Ireland> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1992> 	=> playsFor-1
<wikicat_Football_clubs_in_Italy> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1905> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1949> 	=> playsFor-1
<wikicat_Defunct_soccer_clubs_in_the_United_States> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1930> 	=> playsFor-1
<wikicat_Football_clubs_in_Switzerland> 	=> playsFor-1
<wikicat_National_Premier_Leagues_clubs> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_2011> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1989> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1913> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1924> 	=> playsFor-1
<wikicat_Association_football_clubs_in_New_Zealand> 	=> playsFor-1
<wikicat_Football_clubs_in_Thailand> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1923> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1961> 	=> playsFor-1
<wikicat_Defunct_football_clubs_in_Ukraine> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1971> 	=> playsFor-1
<wikicat_Football_clubs_in_Nigeria> 	=> playsFor-1
<wikicat_North_West_Counties_Football_League_clubs> 	=> playsFor-1
<wikicat_Defunct_football_clubs_in_England> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1946> 	=> playsFor-1
<wikicat_Football_clubs_in_Austria> 	=> playsFor-1
<wikicat_Women's_association_football_clubs> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1921> 	=> playsFor-1
<wikicat_Association_football_clubs_established_in_1993> 	=> playsFor-1
<wordnet_person_100007846> 	=> wasBornIn
<wordnet_city_108524735> 	=> wasBornIn-1
<wordnet_worker_109632518> 	=> worksAt
<wordnet_institution_108053576> 	=> worksAt-1
<wordnet_unit_108189659> 	=> worksAt-1
<wordnet_enterprise_108056231> 	=> worksAt-1
<wordnet_composer_109947232> 	=> wroteMusicFor
<wordnet_lyricist_110277912> 	=> wroteMusicFor
<wordnet_musical_107019172> 	=> wroteMusicFor-1
<wordnet_soundtrack_104262969> 	=> wroteMusicFor-1
<wordnet_album_106591815> 	=> wroteMusicFor-1
